"manu_name","manu_django_id","style_name","style_django_id","home_name","code","sqft","bedrooms","baths","stories","cost","estimatedCost","link","floorplans","info"
"Express Modular","31","Cape Cod","4","Durham","em122","1311","3","2","1","65174","162935","http://www.expressmodular.com/view_plan.php?id=835","http://www.expressmodular.com/view_plan.php?id=835",""
"Express Modular","31","Cape Cod","4","East Bay","em123","1376","1","1.5","1.5","78990","197475","http://www.expressmodular.com/view_plan.php?id=172","http://www.expressmodular.com/view_plan.php?id=172",""
"Express Modular","31","Cape Cod","4","Easton","em124","2088","3","2","1","124514","311285","http://www.expressmodular.com/view_plan.php?id=93","http://www.expressmodular.com/view_plan.php?id=93",""
"Express Modular","31","Two Story","5","Eastwood","em125","2418","4","3.5","2","90178","225445","http://www.expressmodular.com/view_plan.php?id=134#","http://www.expressmodular.com/view_plan.php?id=134#",""
"Express Modular","31","Cape Cod","4","Echo Hills","em126","1640","3","2","1.5","86642","216605","http://www.expressmodular.com/view_plan.php?id=17","http://www.expressmodular.com/view_plan.php?id=17",""
"Express Modular","31","Two Story","5","Edgelvale","em127","2594","4","2.5","2","124195","310488","http://www.expressmodular.com/view_plan.php?id=18","http://www.expressmodular.com/view_plan.php?id=18",""
"Express Modular","31","Cape Cod","4","Edgemont","em128","1808","3","2","1","116194","290485","http://www.expressmodular.com/view_plan.php?id=42","http://www.expressmodular.com/view_plan.php?id=42",""
"Express Modular","31","Cape Cod","4","Edgewood II","em129","1440","2","2","2","70650","176625","http://www.expressmodular.com/view_plan.php?id=781","http://www.expressmodular.com/view_plan.php?id=781",""
"Express Modular","31","Two Story","5","Edison","em130","2734","4","2.5","2","95665","239163","http://www.expressmodular.com/view_plan.php?id=94","http://www.expressmodular.com/view_plan.php?id=94",""
"Express Modular","31","Two Story","5","Elderberry","em131","2990","3","2.5","2","130113","325283","http://www.expressmodular.com/view_plan.php?id=802","http://www.expressmodular.com/view_plan.php?id=802",""
"Express Modular","31","Chalet","2","Essex Cape","em132","1040","2","1","1.5","62994","157485","http://www.expressmodular.com/view_plan.php?id=173","http://www.expressmodular.com/view_plan.php?id=173",""
"Express Modular","31","Cape Cod","4","Fairacres","em133","1754","3","2","1.5","92581","231453","http://www.expressmodular.com/view_plan.php?id=19","http://www.expressmodular.com/view_plan.php?id=19",""
"Express Modular","31","Cape Cod","4","Fairfax","em134","2232","3","1.5","2","109883","274708","http://www.expressmodular.com/view_plan.php?id=129","http://www.expressmodular.com/view_plan.php?id=129",""
"Express Modular","31","Cape Cod","4","Fairfeild","em135","1324","3","2","1","65343","163358","http://www.expressmodular.com/view_plan.php?id=135","http://www.expressmodular.com/view_plan.php?id=135",""
"Express Modular","31","Two Story","5","Fairmont","em136","2487","3","2.5","2","107506","268765","http://www.expressmodular.com/view_plan.php?id=243","http://www.expressmodular.com/view_plan.php?id=243",""
"Express Modular","31","Two Story","5","Fairview","em137","2003","3","2.5","2","116711","291778","http://www.expressmodular.com/view_plan.php?id=20","http://www.expressmodular.com/view_plan.php?id=20",""
"Express Modular","31","Ranch","1","Faulkner","em138","1650","3","2","1","98346","245865","http://www.expressmodular.com/view_plan.php?id=43","http://www.expressmodular.com/view_plan.php?id=43",""
"Express Modular","31","Ranch","1","Fenwick","em139","1677","3","2","1","110513","276283","http://www.expressmodular.com/view_plan.php?id=44","http://www.expressmodular.com/view_plan.php?id=44",""
"Express Modular","31","Cape Cod","4","Franklin II","em140","1214","3","2","1","61559","153898","http://www.expressmodular.com/view_plan.php?id=836","http://www.expressmodular.com/view_plan.php?id=836",""
"Express Modular","31","Cape Cod","4","Freedom","em141","1152","3","2","1","56832","142080","http://www.expressmodular.com/view_plan.php?id=95","http://www.expressmodular.com/view_plan.php?id=95",""
"Express Modular","31","Cape Cod","4","Freeport","em142","2111","3","2","1.5","73877","184693","http://www.expressmodular.com/view_plan.php?id=1067","http://www.expressmodular.com/view_plan.php?id=1067",""
"Express Modular","31","Two Story","5","Fulton","em143","3216","6","2.5","2","123758","309395","http://www.expressmodular.com/view_plan.php?id=808","http://www.expressmodular.com/view_plan.php?id=808",""
"Express Modular","31","Cape Cod","4","Geneva","em144","1560","3","2","1","103924","259810","http://www.expressmodular.com/view_plan.php?id=45","http://www.expressmodular.com/view_plan.php?id=45",""
"Express Modular","31","Two Story","5","Georgetown","em145","2772","3","2.5","2","109417","273543","http://www.expressmodular.com/view_plan.php?id=176","http://www.expressmodular.com/view_plan.php?id=176",""
"Express Modular","31","Two Story","5","Georgetown I","em146","2091","3","2.5","2","88394","220985","http://www.expressmodular.com/view_plan.php?id=791","http://www.expressmodular.com/view_plan.php?id=791",""
"Express Modular","31","Cape Cod","4","Gillette","em147","1508","3","1.5","2","69111","172778","http://www.expressmodular.com/view_plan.php?id=177","http://www.expressmodular.com/view_plan.php?id=177",""
"Express Modular","31","Mansion","8","Gladstone","em148","4284","4","3.5","2","214637","536593","http://www.expressmodular.com/view_plan.php?id=811","http://www.expressmodular.com/view_plan.php?id=811",""
"Express Modular","31","Two Story","5","Glen Springs","em149","2554","4","3.5","2","135785","339463","http://www.expressmodular.com/view_plan.php?id=21","http://www.expressmodular.com/view_plan.php?id=21",""
"Express Modular","31","Cape Cod","4","Glenside","em150","1164","3","2","1","70656","176640","http://www.expressmodular.com/view_plan.php?id=246","http://www.expressmodular.com/view_plan.php?id=246",""
"Express Modular","31","Cape Cod","4","Glenwood","em151","1652","3","2","1","114930","287325","http://www.expressmodular.com/view_plan.php?id=178","http://www.expressmodular.com/view_plan.php?id=178",""
"Express Modular","31","Cape Cod","4","Gordon","em152","1256","3","2.5","1","65645","164113","http://www.expressmodular.com/view_plan.php?id=627","http://www.expressmodular.com/view_plan.php?id=627",""
"Express Modular","31","Two Story","5","Gracin","em153","2634","4","2.5","2","167501","418753","http://www.expressmodular.com/view_plan.php?id=72","http://www.expressmodular.com/view_plan.php?id=72",""
"Express Modular","31","Cape Cod","4","Graham","em154","1430","3","1.5","2","72975","182438","http://www.expressmodular.com/view_plan.php?id=136","http://www.expressmodular.com/view_plan.php?id=136",""
"Express Modular","31","Cape Cod","4","Graham II","em155","1820","4","2.5","2","97039","242598","http://www.expressmodular.com/view_plan.php?id=137","http://www.expressmodular.com/view_plan.php?id=137",""
"Express Modular","31","Cape Cod","4","Graham III","em156","1430","3","1.5","2","84778","211945","http://www.expressmodular.com/view_plan.php?id=138","http://www.expressmodular.com/view_plan.php?id=138",""
"Express Modular","31","Mansion","8","Grand Manor","em157","5640","4","2.5","2","234912","587280","http://www.expressmodular.com/view_plan.php?id=150","http://www.expressmodular.com/view_plan.php?id=150",""
"Express Modular","31","Ranch","1","Grant","em158","2456","3","2.5","1","107478","268695","http://www.expressmodular.com/view_plan.php?id=179","http://www.expressmodular.com/view_plan.php?id=179",""
"Express Modular","31","Ranch","1","Greenwood","em159","1525","3","2","1","107351","268378","http://www.expressmodular.com/view_plan.php?id=46","http://www.expressmodular.com/view_plan.php?id=46",""
"Express Modular","31","Colonial","3","Guthrie","em160","2200","3","2.5","2","94409","236023","http://www.expressmodular.com/view_plan.php?id=628","http://www.expressmodular.com/view_plan.php?id=628",""
"Express Modular","31","Two Story","5","Hamilton 1A","em161","2559","4","2.5","2","142482","356205","http://www.expressmodular.com/view_plan.php?id=96","http://www.expressmodular.com/view_plan.php?id=96",""
"Express Modular","31","Two Story","5","Hamilton 2A","em162","2377","4","2.5","2","104622","261555","http://www.expressmodular.com/view_plan.php?id=97","http://www.expressmodular.com/view_plan.php?id=97",""
"Express Modular","31","Cape Cod","4","Hamilton DH","em163","1797","2","2","1.5","98458","246145","http://www.expressmodular.com/view_plan.php?id=247","http://www.expressmodular.com/view_plan.php?id=247",""
"Express Modular","31","Two Story","5","Hampshire","em164","2681","4","3.5","2","151559","378898","http://www.expressmodular.com/view_plan.php?id=248","http://www.expressmodular.com/view_plan.php?id=248",""
"Express Modular","31","Two Story","5","Hampton","em165","3184","3","3","2","132268","330670","http://www.expressmodular.com/view_plan.php?id=180","http://www.expressmodular.com/view_plan.php?id=180",""
"Express Modular","31","Cape Cod","4","Hancock","em166","1059","2","2","1.5","69405","173513","http://www.expressmodular.com/view_plan.php?id=249","http://www.expressmodular.com/view_plan.php?id=249",""
"Express Modular","31","Cape Cod","4","Harrison","em167","1529","3","2","1","75268","188170","http://www.expressmodular.com/view_plan.php?id=181","http://www.expressmodular.com/view_plan.php?id=181",""
"Express Modular","31","Two Story","5","Harrison I","em168","2304","3","2.5","2","114307","285768","http://www.expressmodular.com/view_plan.php?id=795","http://www.expressmodular.com/view_plan.php?id=795",""
"Express Modular","31","Two Story","5","Harrison II","em169","2304","3","2.5","2","114307","285768","http://www.expressmodular.com/view_plan.php?id=846","http://www.expressmodular.com/view_plan.php?id=846",""
"Express Modular","31","Cape Cod","4","Hartford","em170","2080","3","2.5","2","92665","231663","http://www.expressmodular.com/view_plan.php?id=182","http://www.expressmodular.com/view_plan.php?id=182",""
"Express Modular","31","Cape Cod","4","Hartwick","em171","1320","3","2.5","1","70631","176578","http://www.expressmodular.com/view_plan.php?id=183","http://www.expressmodular.com/view_plan.php?id=183",""
"Express Modular","31","Cape Cod","4","Harwich","em172","1700","3","2.5","1.5","87817","219543","http://www.expressmodular.com/view_plan.php?id=157","http://www.expressmodular.com/view_plan.php?id=157",""
"Express Modular","31","Colonial","3","Hastings","em173","2596","4","2.5","2","122053","305133","http://www.expressmodular.com/view_plan.php?id=796","http://www.expressmodular.com/view_plan.php?id=796",""
"Express Modular","31","Cape Cod","4","Hatteras","em174","2110","3","3","1.5","68343","170858","http://www.expressmodular.com/view_plan.php?id=1060","http://www.expressmodular.com/view_plan.php?id=1060",""
